,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
154,致和金華,5.0,1.0,4.0,107.0,107.0,華南嘉義,2.0,8.71,-6.71,107.0,107.27
155,美好中壢,9.0,5.0,4.0,107.11,107.5,元大萬華,3.0,9.4,-6.4,107.5,107.37
156,福勝,7.0,3.0,4.0,107.29,107.0,元大東港,1.0,7.26,-6.26,108.0,107.02
157,永豐古亭,5.0,1.0,4.0,107.9,107.5,元大金門,1.02,7.13,-6.11,107.0,106.94
158,日盛桃園,8.0,4.0,4.0,107.25,107.0,兆豐高雄,110.0,116.1,-6.1,107.06,107.0
159,國票綜合,12.0,8.1,3.9,107.08,107.43,玉山台南,4.05,10.15,-6.1,107.62,107.2
160,日盛永康,5.0,1.1,3.9,107.2,107.45,富邦彰化,1.06,7.1,-6.04,108.45,107.0
161,元大頭份,3.84,0.0,3.84,107.39,,凱基和平,1.0,7.02,-6.02,107.5,107.0
162,永豐竹科,14.02,10.2,3.82,107.11,107.15,華南楠梓,1.05,7.06,-6.01,107.95,107.07
163,中信託永,8.0,4.2,3.8,107.69,107.0,國票台南,2.0,8.0,-6.0,107.5,107.25
164,日盛高雄,8.1,4.4,3.7,107.25,107.05,土銀彰化,1.0,7.0,-6.0,108.0,107.14
165,臺銀高雄,11.1,7.47,3.63,107.45,107.05,日盛士林,2.0,8.0,-6.0,107.25,107.19
166,中信嘉義,3.59,0.0,3.59,107.14,,合庫西台,1.0,7.0,-6.0,107.5,107.43
167,日盛雙和,7.0,3.5,3.5,107.36,107.14,富邦竹東,3.0,9.0,-6.0,107.33,107.28
168,凱基永康,5.0,1.53,3.47,107.0,107.83,兆豐台中,0.0,5.95,-5.95,,107.38
169,永豐金,34.55,31.16,3.39,107.32,107.19,富邦建國,19.69,25.56,-5.87,107.16,107.22
170,台新台中,25.2,21.98,3.23,107.18,107.09,元富城中,13.14,19.0,-5.86,107.77,107.32
171,國票北高,5.2,2.0,3.2,107.0,107.25,日盛花蓮,3.2,9.0,-5.8,107.16,107.44
172,中信松江,4.2,1.0,3.2,107.36,108.0,元富新興,7.2,13.0,-5.8,106.94,107.08
173,富邦員林,29.2,26.03,3.17,107.5,107.46,元大大灣,7.24,13.01,-5.77,107.77,106.69
174,元大復北,6.11,3.0,3.11,107.33,107.5,元大桃園,0.43,6.0,-5.57,107.12,107.17
175,光和花壇,3.1,0.0,3.1,107.48,,新光新竹,9.64,15.12,-5.48,107.07,107.26
176,土銀台南,3.07,0.0,3.07,107.16,,元大樹林,11.0,16.25,-5.25,107.45,107.18
177,玉山新莊,7.1,4.09,3.01,107.21,107.37,元大板三,6.8,12.05,-5.25,107.23,107.33
178,日盛樹林,16.01,13.0,3.01,107.34,107.23,中銀員林,2.01,7.2,-5.19,107.25,107.07
179,群益忠孝,3.0,0.0,3.0,107.67,,兆豐寶成,3.2,8.39,-5.19,107.0,107.48
180,兆豐桃園,6.0,3.0,3.0,107.42,107.5,元大敦南,0.0,5.15,-5.15,,107.3
181,元大竹山,5.0,2.0,3.0,107.1,107.25,元大彰化,5.0,10.04,-5.04,107.4,107.1
182,凱基台南,12.2,9.2,3.0,107.38,107.05,凱基高雄,2.0,7.03,-5.03,107.25,107.57
183,土銀嘉義,3.0,0.0,3.0,107.0,,華南長虹,3.0,8.02,-5.02,107.17,107.12
184,永豐復興,5.0,2.0,3.0,107.8,107.0,元大四維,4.17,9.17,-5.0,107.13,107.12
