序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,"賣出股數"
365,永興水湳,107.00,2000,1000,,366,永興水湳,107.50,1000,0 
367,永興台中,107.00,2000,1000,,368,永興大墩,107.00,20000,6000 
369,永興大墩,107.50,0,10000,,370,永興大墩,108.00,2000,1000 
371,日進,107.00,14000,1000,,372,日進,107.50,2000,0 
373,日進,108.00,0,3000,,374,統一,107.00,10310,2100 
375,統一,107.50,29000,13000,,376,統一,108.00,4000,6000 
377,統一高雄,107.00,1000,0,,378,統一敦南,106.50,3000,0 
379,統一敦南,107.00,6503,1000,,380,統一敦南,107.50,1000,0 
381,統一中壢,107.00,3000,15000,,382,統一中壢,107.50,1000,3020 
383,統一中壢,108.00,4000,1000,,384,統一城中,107.00,50,3000 
385,統一城中,107.50,0,1000,,386,統一台南,106.50,0,1000 
387,統一台南,107.00,10000,1000,,388,統一台南,107.50,100,0 
389,統一台中,107.00,5000,5300,,390,統一台中,107.50,1000,40 
391,統一台中,108.00,0,9000,,392,統一新竹,107.00,0,11000 
393,統一新竹,107.50,20,35,,394,統一嘉義,107.00,2000,2000 
395,統一嘉義,107.50,1000,0,,396,統一屏東,106.50,0,1000 
397,統一屏東,107.00,5000,4000,,398,統一屏東,107.50,5000,4000 
399,統一屏東,108.00,1000,0,,400,統一屏東,108.50,0,5000 
401,統一基隆,107.00,4100,1000,,402,統一基隆,107.50,100,9000 
403,統一基隆,108.00,1000,2000,,404,統一內湖,107.00,1000,0 
405,統一內湖,107.50,5000,0,,406,統一內湖,108.00,1000,1000 
407,統一永和,107.50,1000,0,,408,統一仁愛,107.00,0,10 
409,統一新台中,106.50,0,2000,,410,統一新台中,107.00,3010,1000 
411,統一新台中,107.50,0,3000,,412,統一新台中,108.00,3000,0 
413,統一新營,106.50,0,1000,,414,統一彰化,107.00,400000,210050 
415,統一彰化,107.50,200,200000,,416,統一彰化,108.00,210000,210000 
417,統一平鎮,107.00,0,1000,,418,統一平鎮,107.50,4000,2034 
419,統一桃園,107.00,1000,1000,,420,統一員林,107.00,1000,0 
421,統一三重,106.50,100000,0,,422,統一三重,107.00,116000,101000 
423,統一三重,107.50,110000,110000,,424,統一竹南,106.50,0,1000 
425,統一竹南,107.00,8,1000,,426,統一士林,106.50,0,1000 
427,統一士林,107.00,0,49,,428,統一士林,107.50,200,2000 
429,統一板橋,107.00,2000,1000,,430,統一板橋,108.00,1000,0 
431,統一三多,107.00,2001,2000,,432,統一三多,107.50,1000,100 
433,統一三多,108.00,2000,0,,434,統一汐止,107.00,2000,2000 
435,統一汐止,107.50,2400,1000,,436,統一汐止,108.00,3000,0 
437,統一宜蘭,106.50,0,8000,,438,統一宜蘭,107.00,1100,2000 
439,統一南京,107.00,2000,0,,440,統一南京,107.50,1000,2110 
441,統一土城,107.00,2100,0,,442,統一土城,107.50,0,352 
443,統一松江,107.00,1193,2000,,444,盈溢籬子內,107.50,0,1000 
445,元富,107.00,299000,28000,,446,元富,107.50,461000,7000 
447,元富,108.00,20000,0,,448,元富高雄,107.00,2000,328 
449,元富高雄,107.50,10,22,,450,元富新店,107.00,1012,30 
451,元富新店,107.50,1000,1000,,452,元富新店,108.00,0,8000 
453,元富三重,107.00,3000,0,,454,元富三重,107.50,37,0 
455,元富三重,108.00,31000,0,,456,元富台中,106.50,0,1000 
457,元富台中,107.00,1000,4795,,458,元富台中,107.50,4000,22300 
459,元富台中,108.00,2000,0,,460,元富林園,107.50,12,1000 
461,元富新莊,107.50,50,0,,462,元富新莊,108.00,0,1000 
463,元富台南,107.00,51000,10000,,464,元富台南,107.50,0,400 
465,元富台南,108.00,1000,0,,466,元富松德,107.00,13000,56000 
467,元富松德,107.50,8300,0,,468,元富松德,108.00,1000,22000 
469,元富緯城,107.00,0,15000,,470,元富緯城,107.50,1046,6025 
471,元富緯城,108.00,1000,0,,472,元富板橋,107.00,2013,8000 
473,元富板橋,107.50,1,1054,,474,元富永和,107.00,2000,0 
475,元富永和,107.50,1700,1000,,476,元富烏日,107.00,0,1000 
477,元富烏日,108.00,1000,0,,478,元富潮洲,107.00,0,14000 
479,元富潮洲,107.50,3050,0,,480,元富大昌,107.00,9020,17000 
481,元富大昌,107.50,5119,2000,,482,元富大昌,108.00,1000,1000 
483,元富古亭,107.00,5000,0,,484,元富古亭,107.50,2000,1000 
485,元富城中,107.00,3000,7000,,486,元富城中,107.50,140,12000 
487,元富城中,108.00,10000,0,,488,元富中原,107.00,2050,0 
489,元富中原,107.50,0,81,,490,元富新竹,107.00,0,1000 
491,元富新竹,108.00,3000,0,,492,元富信義,107.00,3000,1100 
493,元富信義,107.50,1000,0,,494,元富中港,107.00,1000,2560 
495,元富中港,107.50,1000,186,,496,元富嘉義,107.00,5000,2100 
497,元富嘉義,107.50,3227,0,,498,元富嘉義,108.00,1000,0 
499,元富大裕,107.00,23,1000,,500,元富中壢,107.00,1000,10009 
501,元富中壢,107.50,125,0,,502,元富中壢,108.00,5000,0 
503,元富成功,107.00,5005,8000,,504,元富成功,107.50,5,0 
505,元富彰化,107.00,3000,0,,506,元富彰化,108.50,0,2000 
507,元富西松,106.50,0,1000,,508,元富西松,107.00,1000,2000 
509,元富西松,107.50,5,0,,510,元富西松,108.00,3000,0 
511,元富虎尾,107.50,1046,2000,,512,元富新興,106.50,3000,4000 
513,元富新興,107.00,3105,3000,,514,元富新興,107.50,100,6000 
515,元富新興,108.00,1000,0,,516,元富同大,106.50,0,1000 
517,元富同大,107.00,5000,22171,,518,元富同大,107.50,1000,7000 
519,元富同大,108.50,0,1000,,520,元富屏東,107.00,0,1000 
521,元富屏東,107.50,1064,1000,,522,元富敦南,107.00,2000,0 
523,元富敦南,107.50,0,22000,,524,元富城東,107.00,2000,5000 
525,元富城東,107.50,1162,13015,,526,元富城東,108.00,1000,1000 
527,元富基隆,106.50,0,800,,528,元富基隆,107.00,3216,1015 
529,元富世貿,107.00,3000,3000,,530,元富世貿,107.50,200,0 
531,元富世貿,108.00,1000,0,,532,元富宜蘭,107.00,0,11000 
533,元富宜蘭,107.50,1000,0,,534,元富桃園,107.00,2000,4001 
535,元富桃園,107.50,3,100,,536,元富佳里,107.00,2000,13000 
537,元富佳里,107.50,100,1000,,538,元富吉利,107.00,2000,1000 
539,元富吉利,107.50,1000,0,,540,元富草屯,107.00,0,300 
541,元富草屯,107.50,92,0,,542,元富花蓮,107.00,0,11000 
543,元富花蓮,107.50,160100,1597000,,544,元富花蓮,108.00,2110000,0 
545,元富埔里,107.00,0,2000,,546,元富文心,107.00,0,4000 
547,元富文心,108.00,0,55000,,548,元富安南,106.50,0,3000 
549,元富安南,107.00,5000,4100,,550,元富安南,107.50,2000,3000 
551,元富安南,108.00,2000,0,,552,日茂,106.50,0,1000 
553,日茂,107.00,4000,3000,,554,日茂埔里,107.00,1000,1000 
555,日茂南投,108.00,5000,2000,,556,?亞網路,106.50,0,7000 
557,?亞網路,107.00,5000,212,,558,?亞網路,107.50,6000,0 
559,?亞網路,108.00,3000,0,,560,?亞鑫豐,106.50,2000,100 
561,?亞鑫豐,107.00,9000,13000,,562,?亞鑫豐,107.50,1050,3000 
563,?亞鑫豐,108.00,20000,4000,,564,台中銀,107.00,3500,2000 
565,台中銀,107.50,0,2000,,566,台中銀,108.00,1000,0 
567,中銀員林,107.00,1010,6200,,568,中銀員林,107.50,1000,1000 
569,中銀台北,107.00,0,1000,,570,中銀台北,108.00,3000,0 
571,中銀豐原,107.00,2000,3000,,572,中銀豐原,107.50,1000,5000 
573,中國信託,106.50,0,16000,,574,中國信託,107.00,12302,60200 
575,中國信託,107.50,14150,4656,,576,中國信託,108.00,2000,1000 
577,中信三重,107.00,2000,5000,,578,中信三重,107.50,3200,0 
579,中信三重,108.00,4000,0,,580,中信託忠,106.50,0,2000 
581,中信託忠,107.00,1050,6000,,582,中信託忠,107.50,14005,0 
583,中信託忠,108.00,0,3000,,584,中信託永,107.00,1000,4200 
585,中信託永,107.50,3000,0,,586,中信託永,108.00,4000,0 
587,中信託文,106.50,0,5000,,588,中信託文,107.00,13200,9200 
589,中信託文,107.50,0,1030,,590,中信託文,108.00,0,2000 
591,中信託新,107.00,80500,91000,,592,中信託新,107.50,82046,80000 
593,中信松江,107.00,1200,0,,594,中信松江,107.50,3000,0 
595,中信松江,108.00,0,1000,,596,中信嘉義,107.00,2593,0 
597,中信嘉義,107.50,1000,0,,598,中信中壢,107.00,17025,14100 
599,中信中壢,107.50,8000,6000,,600,中信中壢,108.00,4000,0 
601,中信託高,106.50,1000,0,,602,中信託高,107.00,94100,4150 
603,中信託高,107.50,3020,93000,,604,中信託高,108.00,1000,2000 
605,新百王,106.50,0,1000,,606,新百王,107.00,5000,4000 
607,新百王,107.50,2000,3000,,608,新百王,108.00,1000,1000 
609,光和,107.00,3000,6150,,610,光和,107.50,1000,2000 
611,光和,108.00,1000,0,,612,光和溪湖,107.00,1000,0 
613,光和溪湖,107.50,1000,2000,,614,光和田中,107.00,1000,0 
615,光和田中,107.50,2000,0,,616,光和田中,108.00,2000,0 
617,光和花壇,107.00,100,0,,618,光和花壇,107.50,3000,0 
